site_id,sample_id,cluster,town,type_of_sampling,visit,date_sampling,singleplex,spc,hf183,s_typhi,site_name,flow_speed,depth_of_wastewater_sewage,width_of_wastewater_sewage,deploy_duration,not_recovered,water_quality,calibrate,temp,orp,p_h,do,ec,ssg,tds,sal
AGO165-31,AGO165-31-S2,AGO165,AGOGO,Moore Swab,2,2022-08-12T00:00:00Z,2,31.35,33.47,0,Provision shop opp Astroturf,2,1,1,24,1,1,1,36.7,-107.6,7.6,1.6,2071,0,1347,1.04
AGO165-31,AGO165-31-S3,AGO165,AGOGO,Moore Swab,3,2022-10-06T00:00:00Z,1,26.45,32.81,1,Provision shop opp Astroturf,2,1,1,24,1,1,1,36.7,-107.6,7.6,1.6,2071,0,1347,1.04
AGO165-31,AGO165-31-S4,AGO165,AGOGO,Moore Swab,4,2022-11-03T00:00:00Z,1,24.54,29.16,0,Provision shop opp Astroturf,2,1,1,24,1,1,1,36.7,-107.6,7.6,1.6,2071,0,1347,1.04
AGO165-31,AGO165-31-S5,AGO165,AGOGO,Moore Swab,5,2023-01-17T00:00:00Z,2,23.63,0,1,Provision shop opp Astroturf,2,1,1,24,1,1,1,36.7,-107.6,7.6,1.6,2071,0,1347,1.04
AGO165-31,AGO165-31-S6,AGO165,AGOGO,Moore Swab,6,2023-02-01T00:00:00Z,2,21.13,32.7,0,Provision shop opp Astroturf,2,1,1,24,1,1,1,36.7,-107.6,7.6,1.6,2071,0,1347,1.04
AGO165-32,AGO165-32-G1,AGO165,AGOGO,Grab,1,2022-07-28T00:00:00Z,2,25.29,0,0,All shall Pass Beauty Salon,2,1,1,24,2,1,1,24.9,-153.6,6.84,4.8,627,0,411,0.26
AGO165-32,AGO165-32-S2,AGO165,AGOGO,Grab,2,2022-08-12T00:00:00Z,2,24.22,36.28,0,All shall Pass Beauty Salon,2,1,1,24,2,1,1,24.9,-153.6,6.84,4.8,627,0,411,0.26
AGO165-32,AGO165-32-G3,AGO165,AGOGO,Grab,3,2022-10-07T00:00:00Z,1,23.54,35.28,0,All shall Pass Beauty Salon,2,1,1,24,2,1,1,24.9,-153.6,6.84,4.8,627,0,411,0.26
AGO165-32,AGO165-32-G4,AGO165,AGOGO,Grab,4,2022-11-03T00:00:00Z,1,23.95,37.23,0,All shall Pass Beauty Salon,2,1,1,24,2,1,1,24.9,-153.6,6.84,4.8,627,0,411,0.26
AGO165-32,AGO165-32-G5,AGO165,AGOGO,Grab,5,2023-01-17T00:00:00Z,2,23.58,0,0,All shall Pass Beauty Salon,2,1,1,24,2,1,1,24.9,-153.6,6.84,4.8,627,0,411,0.26
AGO165-32,AGO165-32-G6,AGO165,AGOGO,Grab,6,2023-02-01T00:00:00Z,2,20.06,32.96,0,All shall Pass Beauty Salon,2,1,1,24,2,1,1,24.9,-153.6,6.84,4.8,627,0,411,0.26
AGO165-32,AGO165-32-S1,AGO165,AGOGO,Moore Swab,1,2022-07-28T00:00:00Z,1,24.89,34.18,0,All shall Pass Beauty Salon,2,1,1,24,2,1,1,24.9,-153.6,6.84,4.8,627,0,411,0.26
AGO165-32,AGO165-32-S2,AGO165,AGOGO,Moore Swab,2,2022-08-12T00:00:00Z,2,24.47,25.05,1,All shall Pass Beauty Salon,2,1,1,24,2,1,1,24.9,-153.6,6.84,4.8,627,0,411,0.26
AGO165-32,AGO165-32-S3,AGO165,AGOGO,Moore Swab,3,2022-10-07T00:00:00Z,1,25,32.4,0,All shall Pass Beauty Salon,2,1,1,24,2,1,1,24.9,-153.6,6.84,4.8,627,0,411,0.26
AGO165-32,AGO165-32-S4,AGO165,AGOGO,Moore Swab,4,2022-11-03T00:00:00Z,1,22.89,30.33,0,All shall Pass Beauty Salon,2,1,1,24,2,1,1,24.9,-153.6,6.84,4.8,627,0,411,0.26
AGO165-32,AGO165-32-S5,AGO165,AGOGO,Moore Swab,5,2023-01-17T00:00:00Z,2,23.42,29.46,0,All shall Pass Beauty Salon,2,1,1,24,2,1,1,24.9,-153.6,6.84,4.8,627,0,411,0.26
AGO165-32,AGO165-32-S6,AGO165,AGOGO,Moore Swab,6,2023-02-01T00:00:00Z,1,27.82,25.94,0,All shall Pass Beauty Salon,2,1,1,24,2,1,1,24.9,-153.6,6.84,4.8,627,0,411,0.26
AGO165-33,AGO165-33-G1,AGO165,AGOGO,Grab,1,2022-07-27T00:00:00Z,2,24.91,0,0,Concrete Bridge New Collins S.H.S. K,2,1,1,24,2,1,1,27.38,-224.3,6.04,2.1,2720,0,1760,1.39
AGO165-33,AGO165-33-G2,AGO165,AGOGO,Grab,2,2022-08-11T00:00:00Z,2,25.71,36.36,0,Concrete Bridge New Collins S.H.S. K,2,1,1,24,2,1,1,27.38,-224.3,6.04,2.1,2720,0,1760,1.39
AGO165-33,AGO165-33-G3,AGO165,AGOGO,Grab,3,2022-10-06T00:00:00Z,2,23.1,29.48,0,Concrete Bridge New Collins S.H.S. K,2,1,1,24,2,1,1,27.38,-224.3,6.04,2.1,2720,0,1760,1.39
AGO165-33,AGO165-33-G4,AGO165,AGOGO,Grab,4,2022-11-02T00:00:00Z,2,22.21,36.65,0,Concrete Bridge New Collins S.H.S. K,2,1,1,24,2,1,1,27.38,-224.3,6.04,2.1,2720,0,1760,1.39
AGO165-33,AGO165-33-G5,AGO165,AGOGO,Grab,5,2022-12-21T00:00:00Z,2,24.87,0,0,Concrete Bridge New Collins S.H.S. K,2,1,1,24,2,1,1,27.38,-224.3,6.04,2.1,2720,0,1760,1.39
AGO165-33,AGO165-33-G6,AGO165,AGOGO,Grab,6,2023-01-24T00:00:00Z,2,19.62,37.97,0,Concrete Bridge New Collins S.H.S. K,2,1,1,24,2,1,1,27.38,-224.3,6.04,2.1,2720,0,1760,1.39
AGO165-33,AGO165-33-S1,AGO165,AGOGO,Moore Swab,1,2022-07-27T00:00:00Z,1,25.24,28.67,0,Concrete Bridge New Collins S.H.S. K,2,1,1,24,2,1,1,27.38,-224.3,6.04,2.1,2720,0,1760,1.39
AGO165-33,AGO165-33-S2,AGO165,AGOGO,Moore Swab,2,2022-08-11T00:00:00Z,2,25.28,26.48,0,Concrete Bridge New Collins S.H.S. K,2,1,1,24,2,1,1,27.38,-224.3,6.04,2.1,2720,0,1760,1.39
AGO165-33,AGO165-33-S3,AGO165,AGOGO,Moore Swab,3,2022-10-06T00:00:00Z,2,24.39,24.62,0,Concrete Bridge New Collins S.H.S. K,2,1,1,24,2,1,1,27.38,-224.3,6.04,2.1,2720,0,1760,1.39
AGO165-33,AGO165-33-S4,AGO165,AGOGO,Moore Swab,4,2022-11-02T00:00:00Z,1,23.78,29.86,0,Concrete Bridge New Collins S.H.S. K,2,1,1,24,2,1,1,27.38,-224.3,6.04,2.1,2720,0,1760,1.39
AGO165-33,AGO165-33-S5,AGO165,AGOGO,Moore Swab,5,2022-11-02T00:00:00Z,1,25.29,34.25,0,Concrete Bridge New Collins S.H.S. K,2,1,1,24,2,1,1,27.38,-224.3,6.04,2.1,2720,0,1760,1.39
AGO165-33,AGO165-33-S6,AGO165,AGOGO,Moore Swab,6,2023-01-26T00:00:00Z,1,21.8,0,0,Concrete Bridge New Collins S.H.S. K,2,1,1,24,2,1,1,27.38,-224.3,6.04,2.1,2720,0,1760,1.39
AGO165-34,AGO165-34-G1,AGO165,AGOGO,Grab,1,2022-07-27T00:00:00Z,2,24.7,0,0,Abogyaso Stream Behind Two S.B,2,3,3,24,2,1,1,22.9,68,6.79,42.3,232,0,154,0.07
AGO165-34,AGO165-34-G2,AGO165,AGOGO,Grab,2,2022-08-10T00:00:00Z,2,25.95,0,0,Abogyaso Stream Behind Two S.B,2,3,3,24,2,1,1,22.9,68,6.79,42.3,232,0,154,0.07
AGO165-34,AGO165-34-G3,AGO165,AGOGO,Grab,3,2022-10-05T00:00:00Z,2,26.77,37.15,0,Abogyaso Stream Behind Two S.B,2,3,3,24,2,1,1,22.9,68,6.79,42.3,232,0,154,0.07
